source_time,target_time,source,target,count
3.5,4.0,Uncommitted,Uncommitted,16
3.5,4.0,Uncommitted,Ectoderm,1
4.0,4.5,Uncommitted,Uncommitted,34
4.0,4.5,Uncommitted,Paraxial mesoderm,1
4.0,4.5,Uncommitted,Ectoderm,1
4.0,4.5,Uncommitted,Eye field,1
4.0,4.5,Ectoderm,Ectoderm,1
4.5,5.0,Uncommitted,Uncommitted,73
4.5,5.0,Uncommitted,Midgut,1
4.5,5.0,Uncommitted,Mesoderm,2
4.5,5.0,Uncommitted,Hindbrain (r5-r8),1
4.5,5.0,Uncommitted,Hindbrain (r1),1
4.5,5.0,Uncommitted,Intermediate mesoderm,1
4.5,5.0,Uncommitted,Ectoderm,2
4.5,5.0,Uncommitted,Paraxial mesoderm,1
4.5,5.0,Paraxial mesoderm,Paraxial mesoderm,1
4.5,5.0,Ectoderm,Ectoderm,1
4.5,5.0,Eye field,Eye field,1
4.5,5.0,Uncommitted,Splanchnic mesoderm,1
4.5,5.0,Uncommitted,Midbrain,1
4.5,5.0,Uncommitted,Spinal cord (thoracic),1
4.5,5.0,Uncommitted,Endocardial cell,1
4.5,5.0,Uncommitted,Floor plate,1
4.5,5.0,Uncommitted,Neural ectoderm,3
4.5,5.0,Uncommitted,First heart field,1
5.0,5.5,Uncommitted,Uncommitted,162
5.0,5.5,Uncommitted,Frontonasal mesenchyme,1
5.0,5.5,Uncommitted,Myotome,1
5.0,5.5,Uncommitted,Ectoderm,13
5.0,5.5,Uncommitted,Paraxial mesoderm,2
5.0,5.5,Uncommitted,Mesoderm,18
5.0,5.5,Uncommitted,Somatic mesoderm,4
5.0,5.5,Uncommitted,Neural ectoderm,11
5.0,5.5,Uncommitted,Hindbrain (r5-r8),1
5.0,5.5,Uncommitted,Floor plate,1
5.0,5.5,Midgut,Midgut,1
5.0,5.5,Uncommitted,Trigeminal ganglion neuron,1
5.0,5.5,Uncommitted,Sclerotome,2
5.0,5.5,Uncommitted,Olfactory placode,1
5.0,5.5,Mesoderm,Mesoderm,6
5.0,5.5,Hindbrain (r5-r8),Hindbrain (r5-r8),1
5.0,5.5,Hindbrain (r1),Hindbrain (r1),1
5.0,5.5,Uncommitted,Lateral plate mesoderm,3
5.0,5.5,Uncommitted,Juxtacardiac field,1
5.0,5.5,Uncommitted,Head paraxial mesoderm,1
5.0,5.5,Uncommitted,Hindlimb field,1
