source_time,target_time,source,target,count
3.5,4.0,Uncommitted,Uncommitted,16
3.5,4.0,Uncommitted,Ectoderm,1
4.0,4.5,Uncommitted,Uncommitted,34
4.0,4.5,Uncommitted,Paraxial mesoderm,2
4.0,4.5,Uncommitted,Ectoderm,1
4.0,4.5,Uncommitted,Neural ectoderm,2
4.0,4.5,Ectoderm,Ectoderm,1
4.5,5.0,Uncommitted,Uncommitted,73
4.5,5.0,Uncommitted,Endoderm,1
4.5,5.0,Uncommitted,Mesoderm,2
4.5,5.0,Uncommitted,Neural ectoderm,7
4.5,5.0,Uncommitted,Intermediate mesoderm,1
4.5,5.0,Uncommitted,Ectoderm,2
4.5,5.0,Uncommitted,Paraxial mesoderm,3
4.5,5.0,Paraxial mesoderm,Paraxial mesoderm,2
4.5,5.0,Ectoderm,Ectoderm,1
4.5,5.0,Neural ectoderm,Neural ectoderm,2
4.5,5.0,Uncommitted,Lateral plate mesoderm,2
5.0,5.5,Uncommitted,Uncommitted,162
5.0,5.5,Uncommitted,Neural crest,3
5.0,5.5,Uncommitted,Paraxial mesoderm,6
5.0,5.5,Uncommitted,Ectoderm,13
5.0,5.5,Uncommitted,Mesoderm,20
5.0,5.5,Uncommitted,Lateral plate mesoderm,11
5.0,5.5,Uncommitted,Neural ectoderm,21
5.0,5.5,Endoderm,Endoderm,2
5.0,5.5,Uncommitted,Surface ectoderm,1
5.0,5.5,Mesoderm,Mesoderm,7
5.0,5.5,Neural ectoderm,Neural ectoderm,8
5.0,5.5,Uncommitted,Endoderm,7
5.0,5.5,Intermediate mesoderm,Intermediate mesoderm,1
5.0,5.5,Ectoderm,Ectoderm,4
5.0,5.5,Paraxial mesoderm,Paraxial mesoderm,6
5.0,5.5,Uncommitted,Intermediate mesoderm,1
5.0,5.5,Lateral plate mesoderm,Lateral plate mesoderm,2
5.0,5.5,Ectoderm,Surface ectoderm,1
5.5,6.0,Uncommitted,Paraxial mesoderm,21
5.5,6.0,Uncommitted,Uncommitted,297
5.5,6.0,Uncommitted,Mesoderm,60
5.5,6.0,Uncommitted,Neural ectoderm,63
5.5,6.0,Uncommitted,Endoderm,25
5.5,6.0,Uncommitted,Neural crest,8
5.5,6.0,Uncommitted,Surface ectoderm,10
5.5,6.0,Neural crest,Neural crest,4
5.5,6.0,Paraxial mesoderm,Paraxial mesoderm,14
